ClauseLikeUnit(CLU)-value,Region,D/H,Age,Gender,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,HS,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,RH-IDgloss-value,LH-IDgloss-value,Comments-value,regularity
BL03F70WHC_LH_CLU#016,Bristol,hearing,70,M,Negated clause,Single,NA,NA,me not understand,There were children signing out there and I couldn't understand any of them.,1190,Neg/reprise,Multiple,Present,other,HS,Present,NA,"SYLL:POOH, SYLL:POOH-prog",me,Absent,"CAN-NOT, NOT-UNDERSTAND","PT:PRO1SG, CAN-NOT, NOT-UNDERSTAND","AS What macro-role for a modal verb? GH: include as PROCESS for now, finer distinctions are made on other tiers, eg GramClss",Irregular
BL03F70WHC_LH_CLU#032,Bristol,hearing,70,F,Negated clause,Single,NA,NA,me not-understand,"As I got indoors, my Mother waved and cried bye bye, but I did not know where she was going.",1140,Neg/declarative,Single,Present,other,HS,Present,NA,SYLL:POOH,bye-prog,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND","GH: Agree NP, mouthing ambiguous here. Agree bye-prog but then it could be seen as changing to ""m"" for ""me"" or ""m"" for the following Mouth gesture, GH: MG on Mouth activity tier is annotated on Mouth Gesture tier. My prference would be to always have a go at analysing what the MG is, not just coding it as potentially MG. That way you constantly have to justify your annotations/give others the possibility to analyse/check. HP:this is an annotation from my MSc when the scope of my project was to only categorised as M/MG/none",?
BL03F70WHC_LH_CLU#034,Bristol,hearing,70,F,Negated clause,Single?,NA,NA,me not-understand wander-aimlessly/me (the) not-understanding (event happened) + (me) wander-aimlessly,"As she left crying, I looked around all the children signing and could not understand what they were talking about.",1300,Neg/declarative,Single,Present,other,"Nod, HS",Present,CA:SIGNER,SYLL:POOH,NA,Absent,"PT:PRO1SG, NOT-UNDERSTAND","PT:PRO1SG, FROM-TO",NA,?
BL03F70WHC_LH_CLU#040,Bristol,hearing,70,F,Negated clause,Single,NA,NA,me not-understand (them/their signing),"As she left crying, I looked around all the children signing and could not understand what they were talking about.",940,Neg/declarative,Single,Present,other,NHS,Absent,NA,SYLL:POOH,me,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND",NA,?
BL03F70WHC_LH_CLU#088,Bristol,hearing,70,F,Negated clause,Single,NA,NA,(because not) see (each other for) long time,It was emotional as I had not seen her for a long time.,1270,Neg/declarative,Absent,Present,None,"NHS, HS, NHS",Present,NA,NA,"mum, look, long, time",Absent,"MOTHER?, LOOK, LONG, TIME","MOTHER?, LONG, TIME","GH: Question for MB: is this MOTHER or GO or something else eg CA? TJ thinks it's not MOTHER. MB checked and thinks either MOTHER or BECAUSE meaning, it's not clear, GH: Negated clause TJ unsure if meaning is (a) mother sad/say good bye ""looking wistfully, or (b) going away to boarding school therefore won't see for long time (as GH interpreted, and therefore yes NMO negated CLU). MB agree with GH.",Regular
BL03F70WHC_LH_CLU#098,Bristol,hearing,70,F,Negated clause,Single,NA,NA,(we don't know what to) say..umm,It's strange as we don't know what to talk about!,3760,Neg/declarative,Absent,Present,None,"HS1, NHS",Present,NA,NA,don't know what,Single,NA,"?SAY, PT:, PT:",NA,Regular
BL03F70WHC_LH_CLU#120,Bristol,hearing,70,F,Negated clause,Single,NA,NA,some (people) in-debt (can't) afford well,It's the same for people who cannot afford to keep up with their payments.,1750,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,can't afford,Single,"DEBT, AFFORD, G:WELL","SOME, DEBT, AFFORD, G:WELL",KC:Really N/A for undergoer? Or maybe this is best considered other type of verb?,Regular
BL03F70WHC_LH_CLU#122,Bristol,hearing,70,F,INDEFINITE,Single,NA,NA,their work (nothing left) well/they (no) work (anymore) well,"As they are out of work, they can't afford it so they have to sell their houses.",1310,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,NA,work,Absent,"WORK, G:WELL","PT:POSS3SG, WORK, G:WELL","GH: TJ agrees CLU negation analysis is INDEFINITE, therefore either negated clause or negated constituent depending on analysis. Need code as such and later analyse this group of tokens in two ways (one as clause negation, one as constituent negation). Sam/different? Also note internal response frame (Q+A from self, very basic).",Regular
BL04M74WHC_CLU#009,Bristol,hearing,74,M,Negated clause,Depend,NA,independent,me won't go to Christmas party (wasn't allowed to go) ,"I wasn't allowed to go to any Christmas parties for six years, because I was naughty.",3759,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",Present,NA,NA,"m(e), won't/wasn't, go, christ(mas), party",Single,"PT:PRO1SG, WILL-NOT, PT?, GO, FROM-TO, CHRISTMAS, PARTY ","FROM-TO, PARTY ","GH: initially this was tagged as PROCESS, but I think you meant the form after this one, GH: not sure if this is nonA or A2",Irregular
BL04M74WHC_CLU#050,Bristol,hearing,74,M,Negated clause,Single,NA,NA,(you) didn't know (yes),...and you didn't know...,819,Neg/response,Single,Present,other,"HS, Nod",Present,NA,NA,don't know,Single,KNOW-NOT,NA,NA,Irregular
